,,,CoNDOR Season 3 Standings,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Points,,,,,,,,Matchups,,,,,,,,
Rank,Racer,Total Points,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,
1,JackOfGames,8,3,2,3,,,,,,jay__te,slackaholicus,mameppo,,,,,,
1,Oblivion111,8,3,2,3,,,,,,violetweavile,mackirby,emuemu7,,,,,,
1,lseneun,8,3,2,3,,,,,,canadianbac0nz,kakefumi,tictacfoe,,,,,,
1,RatRacing,8,3,3,2,,,,,,kageyuuki,flygluffet,ognos,,,,,,
2,spootybiscuit,7,3,2,2,,,,,,deamonhunter11,mudjoe2,fubzo,,,,,,
2,Antizoubilamaka,7,2,3,2,,,,,,fakepsyho,paratroopa1,mawderfuchs,,,,,,
2,mudjoe2,7,3,1,3,,,,,,miltrivd,spootybiscuit,kyriella,,,,,,
2,Ognos,7,3,3,1,,,,,,xelnas,fivemoreminutes,ratracing,,,,,,
3,Staekk,6,0,3,3,,,,,,tictacfoe,kageyuuki,fivemoreminutes,,,,,,
3,Fubzo,6,2,3,1,,,,,,maru_kyu,morphobutterfly,spootybiscuit,,,,,, 
3,MawDerFuchs,6,2,3,1,,,,,,ozuma4242,invertr,antizoubilamaka,,,,,,
3,Slackaholicus,6,3,1,2,,,,,,zypher_k,jackofgames,ratata_ratata,,,,,,
3,maru_kyu,6,1,3,2,,,,,,fubzo,reyllyoc,ozuma4242,,,,,,
4,emuemu7,5,2,3,0,,,,,,ailoodee,(bye),oblivion111,,,,,,
4,mameppo,5,3,2,0,,,,,,lancer873,flamehaze0,jackofgames,,,,,,
4,TicTacFoe,5,3,2,0,,,,,,staekk,kyriella,lseneun,,,,,,
4,jay__te,5,0,2,3,,,,,,jackofgames,canadianbac0nz,annierelli,,,,,,
4,ratata_ratata,5,1,3,1,,,,,,blueblimpsc,tricodin,slackaholicus,,,,,,
4,Lancer873,5,0,3,2,,,,,,mameppo,gfitty,squega,,,,,,
4,zypher_k,5,0,3,2,,,,,,slackaholicus,xelnas,bmz_loop,,,,,,
4,ozuma4242,5,1,3,1,,,,,,mawderfuchs,ailoodee,maru_kyu,,,,,,
4,WintherMaw,5,1,1,3,,,,,,paratroopa1,squega,morphobutterfly,,,,,,
5,MacKirby,4,3,1,,,,,,,robsnowlock,oblivion111,kakefumi,,,,,,
6,duneaught,6,2,2,2,,,,,,tricodin,blueblimpsc,flamehaze0,,,,,,
7,kakefumi,4,3,1,,,,,,,bmz_loop,lseneun,mackirby,,,,,,
8,flamehaze0,5,3,1,1,,,,,,namelesshero2222,mameppo,duneaught,,,,,,
9,Kyriella,4,3,1,0,,,,,,zeldaethan9,tictacfoe,mudjoe2,,,,,,
9,Rac_The_Kitty,4,2,0,2,,,,,,squega,--,namelesshero2222,,,,,,
9,CanadianBac0nz,4,0,1,3,,,,,,lseneun,jay__te,ailoodee,,,,,,
9,deamonhunter11,4,0,1,3,,,,,,spootybiscuit,miltrivd,tricodin,,,,,,
9,Squega,4,1,2,1,,,,,,rac_the_kitty,winthermaw,lancer873,,,,,,
9,bmz_loop,4,0,3,1,,,,,,kakefumi,ghost_butts,zypher_k,,,,,,
10,FiveMoreMinutes,3,3,0,0,,,,,,Ghost_Butts,ognos,staekk,,,,,,
10,Flygluffet,3,3,0,0,,,,,,annierelli,ratracing,blueblimpsc,,,,,,
11,blueblimpsc,6,2,1,3,,,,,,ratata_ratata,duneaught,flygluffet,,,,,,
12,FakePsyho,3,1,2,,,,,,,antizoubilamaka,imwaytoopunny,pancelor,,,,,,
12,pancelor,3,0,3,,,,,,,--,zeldaethan9,fakepsyho,,,,,,
12,NamelessHero2222,3,0,2,1,,,,,,flamehaze0,violetweavile,rac_the_kitty,,,,,,
12,Ghost_Butts,3,0,0,3,,,,,,fivemoreminutes,bmz_loop,kageyuuki,,,,,,
12,VioletWeavile,3,0,1,2,,,,,,oblivion111,namelesshero2222,robsnowlock,,,,,,
13,Paratroopa1,2,2,0,,,,,,,winthermaw,antizoubilamaka,invertr,,,,,,
13,Morphobutterfly,2,2,0,0,,,,,,imwaytoopunny,fubzo,winthermaw,,,,,,
13,invertr,2,2,0,,,,,,,reyllyoc,mawderfuchs,paratroopa1,,,,,,
13,imwaytopunny,2,1,1,,,,,,,morphobutterfly,fakepsyho,miltrivd,,,,,,
13,Miltrivd,2,0,2,,,,,,,mudjoe2,deamonhunter11,imwaytoopunny,,,,,,
13,AnnieRelli,2,0,2,0,,,,,,flygluffet,robsnowlock,jay__te,,,,,,
13,RobSnowlock,2,0,1,1,,,,,,mackirby,annierelli,violetweavile,,,,,,
14,Reyllyoc,1,1,0,,,,,,,invertr,maru_kyu,--,,,,,,
14,aiLoodee,1,1,0,,,,,,,emuemu7,ozuma4242,canadianbac0nz,,,,,,
14,Tricodin,1,1,0,0,,,,,,duneaught,ratata_ratata,deamonhunter11,,,,,,
15,Xelnas,0,0,0,,,,,,,ognos,zypher_k,Xelnas has officially dropped out of CoNDOR Season 3.,,,,,,
15,Zeldaethan9,0,0,0,,,,,,,kyriella,pancelor,gfitty,,,,,,
15,KageYuuki,0,0,0,,,,,,,ratracing,staekk,ghost_butts,KageYuuki has withdrawn from the tournament,,,,,
15,gfitty,0,0,0,,,,,,,--,lancer873,zeldaethan9,,,,,,